description	name	low_cutoff	high_cutoff	samplingrate	status	type
electro-encephalography channel	EEG 023	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 024	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 025	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 026	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 027	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 028	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 029	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 030	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 031	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 032	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 033	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 034	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 035	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 036	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 037	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 038	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 039	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 040	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 041	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 042	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 043	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 044	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 045	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 046	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 047	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 048	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 049	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 050	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 051	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 052	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 053	0.1	172.18	600.61499	bad	EEG
electro-encephalography channel	EEG 054	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 055	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 056	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 057	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 058	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 059	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 060	0.1	172.18	600.61499	good	EEG
electro-oculogram	EOG 061	0.1	172.18	600.61499	good	EOG
