onset	duration	trial_type	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT
225.336	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.87843	UT	UT	UT	UT
227.377	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	 1.3051	LC-MISS	   1.54	UT	UT
229.377	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	 1.3051	LC-MISS	   1.54	UT	UT
231.416	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.73979	UT	UT	UT	UT
233.416	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.73979	UT	UT	UT	UT
235.453	1.000	Invalid LC-Hit Cue: invalid cue where following object was a subsequent low confidence hit	OBJ	NV	1	 1.0103	LC-HIT	 2.2773	1	0.70671
241.453	0.500	Invalid LC-Hit Obj: object that was a subsequent low confidence hit and that followed an invalid cue	OBJ	NV	1	 1.0103	LC-HIT	 2.2773	1	0.70671
245.495	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.83779	UT	UT	UT	UT
251.495	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.83779	UT	UT	UT	UT
255.538	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	1	 1.1484	UT	UT	UT	UT
259.538	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	1	 1.1484	UT	UT	UT	UT
261.580	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	NR	NR	LC-HIT	 2.9577	1	0.99875
265.580	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	NR	NR	LC-HIT	 2.9577	1	0.99875
267.619	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	NR	NR	HC-MISS	 1.1302	UT	UT
271.619	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	NR	NR	HC-MISS	 1.1302	UT	UT
275.660	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	1	 0.7702	UT	UT	UT	UT
281.660	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	1	 0.7702	UT	UT	UT	UT
283.703	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.67598	LC-MISS	 1.1587	UT	UT
285.703	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.67598	LC-MISS	 1.1587	UT	UT
289.741	1.000	Invalid Other Greeble Cue: invalid cue where following stimulus was an untested or no response greeble	GRE	NV	1	0.82798	UT	UT	UT	UT
291.741	0.500	Invalid Other Greeble: stimulus that was an untested or no response greeble and that followed a invalid cue	GRE	NV	1	0.82798	UT	UT	UT	UT
293.781	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	 0.9417	HC-MISS	 1.1377	UT	UT
297.781	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	 0.9417	HC-MISS	 1.1377	UT	UT
299.821	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	NR	NR	LC-MISS	 1.4926	UT	UT
305.821	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	NR	NR	LC-MISS	 1.4926	UT	UT
307.862	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	0.67783	LC-MISS	 1.0096	UT	UT
309.862	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	0.67783	LC-MISS	 1.0096	UT	UT
311.899	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.89352	HC-MISS	 1.3836	UT	UT
315.899	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.89352	HC-MISS	 1.3836	UT	UT
317.938	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.74487	UT	UT	UT	UT
319.938	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.74487	UT	UT	UT	UT
321.976	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	NR	NR	LC-HIT	 2.3352	0	0.45044
323.976	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	NR	NR	LC-HIT	 2.3352	0	0.45044
328.013	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	NR	NR	UT	UT	UT	UT
334.013	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	NR	NR	UT	UT	UT	UT
336.058	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.68797	LC-MISS	 1.5554	UT	UT
340.058	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.68797	LC-MISS	 1.5554	UT	UT
342.097	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.64074	LC-MISS	 3.1301	UT	UT
346.097	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.64074	LC-MISS	 3.1301	UT	UT
350.137	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	 1.1278	UT	UT	UT	UT
352.137	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	 1.1278	UT	UT	UT	UT
354.177	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	0.79922	LC-MISS	 2.4283	UT	UT
360.177	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	0.79922	LC-MISS	 2.4283	UT	UT
362.218	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	NR	NR	LC-HIT	 2.0138	0	0.26468
366.218	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	NR	NR	LC-HIT	 2.0138	0	0.26468
