name	electrode_name	type	units	sampling_frequency	reference	channel_id	contact_id	stream_id	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	low_cutoff	high_cutoff	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_id	coordinates_x	coordinates_y	gain
chan45_s1	45	LFP	uV	1000	ref1	50	45.0	1	../../../sourcedata/i140703-001.ns2	2	13	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	True	33.0	0.8	1.2	5000
chan46_s1	46	LFP	uV	1000	ref1	51	46.0	1	../../../sourcedata/i140703-001.ns2	2	14	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	False	46.0	2.0	1.6	5000
chan47_s1	47	LFP	uV	1000	ref1	52	47.0	1	../../../sourcedata/i140703-001.ns2	2	15	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	34.0	1.2	1.2	5000
chan48_s1	48	LFP	uV	1000	ref1	53	48.0	1	../../../sourcedata/i140703-001.ns2	2	16	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	65.0	1.6	2.4	5000
chan49_s1	49	LFP	uV	1000	ref1	54	49.0	1	../../../sourcedata/i140703-001.ns2	2	17	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	24.0	1.2	0.8	5000
chan50_s1	50	LFP	uV	1000	ref1	55	50.0	1	../../../sourcedata/i140703-001.ns2	2	18	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	56.0	2.0	2.0	5000
chan51_s1	51	LFP	uV	1000	ref1	56	51.0	1	../../../sourcedata/i140703-001.ns2	2	19	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	35.0	1.6	1.2	5000
chan52_s1	52	LFP	uV	1000	ref1	57	52.0	1	../../../sourcedata/i140703-001.ns2	2	20	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	47.0	2.4	1.6	5000
chan53_s1	53	LFP	uV	1000	ref1	58	53.0	1	../../../sourcedata/i140703-001.ns2	2	21	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	False	25.0	1.6	0.8	5000
chan54_s1	54	LFP	uV	1000	ref1	59	54.0	1	../../../sourcedata/i140703-001.ns2	2	22	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	57.0	2.4	2.0	5000
chan55_s1	55	LFP	uV	1000	ref1	60	55.0	1	../../../sourcedata/i140703-001.ns2	2	23	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	26.0	2.0	0.8	5000
chan56_s1	56	LFP	uV	1000	ref1	61	56.0	1	../../../sourcedata/i140703-001.ns2	2	24	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	36.0	2.0	1.2	5000
chan57_s1	57	LFP	uV	1000	ref1	62	57.0	1	../../../sourcedata/i140703-001.ns2	2	25	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	27.0	2.4	0.8	5000
chan58_s1	58	LFP	uV	1000	ref1	63	58.0	1	../../../sourcedata/i140703-001.ns2	2	26	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	37.0	2.4	1.2	5000
chan59_s1	59	LFP	uV	1000	ref1	64	59.0	1	../../../sourcedata/i140703-001.ns2	2	27	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	28.0	2.8	0.8	5000
chan60_s1	60	LFP	uV	1000	ref1	65	60.0	1	../../../sourcedata/i140703-001.ns2	2	28	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	38.0	2.8	1.2	5000
chan61_s1	61	LFP	uV	1000	ref1	66	61.0	1	../../../sourcedata/i140703-001.ns2	2	29	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	29.0	3.2	0.8	5000
chan62_s1	62	LFP	uV	1000	ref1	67	62.0	1	../../../sourcedata/i140703-001.ns2	2	30	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	48.0	2.8	1.6	5000
chan63_s1	63	LFP	uV	1000	ref1	68	63.0	1	../../../sourcedata/i140703-001.ns2	2	31	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	19.0	3.2	0.4	5000
chan64_s1	64	LFP	uV	1000	ref1	69	64.0	1	../../../sourcedata/i140703-001.ns2	2	32	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	39.0	3.2	1.2	5000
chan65_s1	65	LFP	uV	1000	ref1	70	65.0	1	../../../sourcedata/i140703-001.ns2	3	1	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	81.0	0.0	3.2	5000
chan66_s1	66	LFP	uV	1000	ref1	71	66.0	1	../../../sourcedata/i140703-001.ns2	3	2	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	82.0	0.4	3.2	5000
chan67_s1	67	LFP	uV	1000	ref1	72	67.0	1	../../../sourcedata/i140703-001.ns2	3	3	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	False	71.0	0.0	2.8	5000
chan68_s1	68	LFP	uV	1000	ref1	73	68.0	1	../../../sourcedata/i140703-001.ns2	3	4	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	72.0	0.4	2.8	5000
