onset	duration	trial_type	stim_file	stim_file_index
101.2177	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	143
101.72	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
102.222	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	110
102.7243	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
103.2263	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	56
103.7287	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
104.231	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	84
104.733	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
105.2353	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	34
105.7373	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
106.2397	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	62
106.7417	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
107.244	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	127
107.7464	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
108.2484	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	173
108.7507	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
109.2527	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	60
109.755	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
110.2574	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	38
110.7594	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
111.2617	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	14
111.7637	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
112.266	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	193
112.768	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
113.2704	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	139
113.7727	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
114.2747	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	198
114.777	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
115.2791	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	192
115.7814	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
116.2834	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	99
116.7857	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
117.2881	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	187
117.7901	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
118.2924	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	29
118.7944	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
119.2967	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	20
119.7991	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
120.3011	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	57
120.8034	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
121.3054	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	117
121.8077	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
122.3097	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	95
122.8121	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
