onset	duration	trial_type	Response	Stimulus	RT
70.552	0.2	visual standard stimulus presentation	0.0	standard	n/a
72.555	0.2	visual standard stimulus presentation	0.0	standard	n/a
74.953	0.2	visual standard stimulus presentation	0.0	standard	n/a
77.749	0.2	visual oddball stimulus presentation	1.0	target	n/a
77.749	0.48	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
80.546	0.2	visual standard stimulus presentation	0.0	standard	n/a
82.549	0.2	visual oddball stimulus presentation	1.0	target	n/a
82.549	0.416	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
84.948	0.2	visual standard stimulus presentation	0.0	standard	n/a
87.942	0.2	visual oddball stimulus presentation	1.0	target	n/a
