channel_id	contact_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_ids	coordinates_x	coordinates_y	channel_type
81	81	30000	uV	chan81	../../../sourcedata/l101210-001.ns5	3	17	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	2	0.4	0	EXT
82	82	30000	uV	chan82	../../../sourcedata/l101210-001.ns5	3	18	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	23	0.8	0.8	EXT
83	83	30000	uV	chan83	../../../sourcedata/l101210-001.ns5	3	19	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	3	0.8	0	EXT
84	84	30000	uV	chan84	../../../sourcedata/l101210-001.ns5	3	20	1000	3	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	13	0.8	0.4	EXT
85	85	30000	uV	chan85	../../../sourcedata/l101210-001.ns5	3	21	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	4	1.2	0	EXT
86	86	30000	uV	chan86	../../../sourcedata/l101210-001.ns5	3	22	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	14	1.2	0.4	EXT
87	87	30000	uV	chan87	../../../sourcedata/l101210-001.ns5	3	23	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	15	1.6	0.4	EXT
88	88	30000	uV	chan88	../../../sourcedata/l101210-001.ns5	3	24	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	5	1.6	0	EXT
89	89	30000	uV	chan89	../../../sourcedata/l101210-001.ns5	3	25	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	16	2	0.4	EXT
90	90	30000	uV	chan90	../../../sourcedata/l101210-001.ns5	3	26	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	6	2	0	EXT
91	91	30000	uV	chan91	../../../sourcedata/l101210-001.ns5	3	27	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	17	2.4	0.4	EXT
92	92	30000	uV	chan92	../../../sourcedata/l101210-001.ns5	3	28	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	7	2.4	0	EXT
93	93	30000	uV	chan93	../../../sourcedata/l101210-001.ns5	3	29	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	8	2.8	0	EXT
94	94	30000	uV	chan94	../../../sourcedata/l101210-001.ns5	3	30	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	18	2.8	0.4	EXT
95	95	30000	uV	chan95	../../../sourcedata/l101210-001.ns5	3	31	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	20	3.6	0.4	EXT
96	96	30000	uV	chan96	../../../sourcedata/l101210-001.ns5	3	32	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	9	3.2	0	EXT
