onset	duration	sample	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
209.4343636364	n/a	52358	show_cross	n/a	n/a	59	n/a	1	cross.bmp
209.9598181818	n/a	52489	show_face	unfamiliar_face	delayed_repeat	59	11	15	u023.bmp
210.9516363636	n/a	52737	show_circle	n/a	n/a	59	n/a	0	circle.bmp
212.6516363636	n/a	53162	show_cross	n/a	n/a	60	n/a	1	cross.bmp
213.1670909091	n/a	53291	show_face	scrambled_face	first_show	60	n/a	17	s143.bmp
213.8752727273	n/a	53468	right_press	n/a	n/a	60	n/a	4096	n/a
214.0361818182	n/a	53509	show_circle	n/a	n/a	60	n/a	0	circle.bmp
215.7361818182	n/a	53934	show_cross	n/a	n/a	61	n/a	1	cross.bmp
216.3743636364	n/a	54093	show_face	scrambled_face	immediate_repeat	61	1	18	s143.bmp
216.948	n/a	54237	right_press	n/a	n/a	61	n/a	4096	n/a
217.2252727273	n/a	54306	show_circle	n/a	n/a	61	n/a	0	circle.bmp
218.9252727273	n/a	54731	show_cross	n/a	n/a	62	n/a	1	cross.bmp
219.4816363636	n/a	54870	show_face	unfamiliar_face	delayed_repeat	62	12	15	u041.bmp
220.3507272727	n/a	55087	right_press	n/a	n/a	62	n/a	4096	n/a
220.488	n/a	55122	show_circle	n/a	n/a	62	n/a	0	circle.bmp
222.188	n/a	55547	show_cross	n/a	n/a	63	n/a	1	cross.bmp
222.7889090909	n/a	55697	show_face	famous_face	first_show	63	n/a	5	f067.bmp
223.7816363636	n/a	55945	show_circle	n/a	n/a	63	n/a	0	circle.bmp
225.4816363636	n/a	56370	show_cross	n/a	n/a	64	n/a	1	cross.bmp
226.0298181818	n/a	56507	show_face	famous_face	first_show	64	n/a	5	f073.bmp
227.0207272727	n/a	56755	right_press	n/a	n/a	64	n/a	4096	n/a
227.0243636364	n/a	56756	show_circle	n/a	n/a	64	n/a	0	circle.bmp
228.7243636364	n/a	57181	show_cross	n/a	n/a	65	n/a	1	cross.bmp
229.2370909091	n/a	57309	show_face	famous_face	immediate_repeat	65	1	6	f073.bmp
230.1698181818	n/a	57542	show_circle	n/a	n/a	65	n/a	0	circle.bmp
231.8698181818	n/a	57967	show_cross	n/a	n/a	66	n/a	1	cross.bmp
232.4943636364	n/a	58123	show_face	famous_face	delayed_repeat	66	12	7	f146.bmp
233.4525454545	n/a	58363	show_circle	n/a	n/a	66	n/a	0	circle.bmp
235.1525454545	n/a	58788	show_cross	n/a	n/a	67	n/a	1	cross.bmp
235.6352727273	n/a	58908	show_face	scrambled_face	first_show	67	n/a	17	s057.bmp
236.4252727273	n/a	59106	right_press	n/a	n/a	67	n/a	4096	n/a
236.4598181818	n/a	59114	show_circle	n/a	n/a	67	n/a	0	circle.bmp
238.1598181818	n/a	59539	show_cross	n/a	n/a	68	n/a	1	cross.bmp
238.6752727273	n/a	59668	show_face	scrambled_face	first_show	68	n/a	17	s077.bmp
239.5370909091	n/a	59884	right_press	n/a	n/a	68	n/a	4096	n/a
239.6689090909	n/a	59917	show_circle	n/a	n/a	68	n/a	0	circle.bmp
241.3689090909	n/a	60342	show_cross	n/a	n/a	69	n/a	1	cross.bmp
241.9161818182	n/a	60479	show_face	unfamiliar_face	delayed_repeat	69	11	15	u146.bmp
242.7816363636	n/a	60695	right_press	n/a	n/a	69	n/a	4096	n/a
242.928	n/a	60732	show_circle	n/a	n/a	69	n/a	0	circle.bmp
244.628	n/a	61157	show_cross	n/a	n/a	70	n/a	1	cross.bmp
245.2743636364	n/a	61318	show_face	famous_face	first_show	70	n/a	5	f055.bmp
246.0552727273	n/a	61513	right_press	n/a	n/a	70	n/a	4096	n/a
246.1489090909	n/a	61537	show_circle	n/a	n/a	70	n/a	0	circle.bmp
247.8489090909	n/a	61962	show_cross	n/a	n/a	71	n/a	1	cross.bmp
248.4652727273	n/a	62116	show_face	famous_face	immediate_repeat	71	1	6	f055.bmp
249.0325454545	n/a	62258	right_press	n/a	n/a	71	n/a	4096	n/a
249.438	n/a	62359	show_circle	n/a	n/a	71	n/a	0	circle.bmp
