onset	duration	trial_type	cash_demean	control_pumps_demean	pumps_demean
481.244	2.4	cash_fixed_real_RT	n/a	n/a	n/a
481.244	0.772	cash_demean	-0.714	n/a	n/a
488.941	1.032	control_pumps_fixed_real_RT	n/a	n/a	n/a
488.941	0.772	control_pumps_demean	n/a	-2.0	n/a
491.309	0.743	control_pumps_fixed_real_RT	n/a	n/a	n/a
491.309	0.772	control_pumps_demean	n/a	-1.0	n/a
494.269	0.772	control_pumps_demean	n/a	0.0	n/a
494.269	0.455	control_pumps_fixed_real_RT	n/a	n/a	n/a
496.428	0.521	control_pumps_fixed_real_RT	n/a	n/a	n/a
496.428	0.772	control_pumps_demean	n/a	1.0	n/a
499.175	0.772	control_pumps_demean	n/a	2.0	n/a
499.175	1.35	control_pumps_fixed_real_RT	n/a	n/a	n/a
509.454	1.311	pumps_fixed_real_RT	n/a	n/a	n/a
509.454	0.772	pumps_demean	n/a	n/a	0.0
513.172	0.772	cash_demean	-1.714	n/a	n/a
513.172	0.753	cash_fixed_real_RT	n/a	n/a	n/a
518.019	0.772	pumps_demean	n/a	n/a	-1.0
518.019	1.714	pumps_fixed_real_RT	n/a	n/a	n/a
521.102	0.927	pumps_fixed_real_RT	n/a	n/a	n/a
521.102	0.772	pumps_demean	n/a	n/a	0.0
524.049	0.772	pumps_demean	n/a	n/a	1.0
524.049	2.358	pumps_fixed_real_RT	n/a	n/a	n/a
527.704	0.772	cash_demean	0.286	n/a	n/a
527.704	0.757	cash_fixed_real_RT	n/a	n/a	n/a
533.825	0.772	pumps_demean	n/a	n/a	-0.5
533.825	1.436	pumps_fixed_real_RT	n/a	n/a	n/a
537.374	1.471	pumps_fixed_real_RT	n/a	n/a	n/a
537.374	0.772	pumps_demean	n/a	n/a	0.5
540.019	1.202	cash_fixed_real_RT	n/a	n/a	n/a
540.019	0.772	cash_demean	-0.714	n/a	n/a
546.746	0.772	pumps_demean	n/a	n/a	-1.0
546.746	0.756	pumps_fixed_real_RT	n/a	n/a	n/a
549.256	0.772	pumps_demean	n/a	n/a	0.0
549.256	0.542	pumps_fixed_real_RT	n/a	n/a	n/a
552.876	0.772	pumps_demean	n/a	n/a	1.0
552.876	1.506	pumps_fixed_real_RT	n/a	n/a	n/a
557.182	0.772	cash_demean	0.286	n/a	n/a
