onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	event_sample
87.1621	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	100	44627
88.0117	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	101	45062
88.8613	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	102	45497
89.7109	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	103	45932
90.5625	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	104	46368
91.4121	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	105	46803
92.2617	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	106	47238
93.1113	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	107	47673
93.9629	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	108	48109
94.8125	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	109	48544
95.6621	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	110	48979
96.5137	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	111	49415
97.3633	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	112	49850
98.2129	0.5000	0.0000	30	PRF-VERTICAL-L-R-28	sub-som682_ses-nyuecog01_task-prf_run-01.mat	113	50285
99.0625	0.5000	0.0000	29	PRF-VERTICAL-L-R-27	sub-som682_ses-nyuecog01_task-prf_run-01.mat	114	50720
99.9141	0.5000	0.0000	28	PRF-VERTICAL-L-R-26	sub-som682_ses-nyuecog01_task-prf_run-01.mat	115	51156
100.7637	0.5000	0.0000	27	PRF-VERTICAL-L-R-25	sub-som682_ses-nyuecog01_task-prf_run-01.mat	116	51591
101.6133	0.5000	0.0000	26	PRF-VERTICAL-L-R-24	sub-som682_ses-nyuecog01_task-prf_run-01.mat	117	52026
102.4629	0.5000	0.0000	25	PRF-VERTICAL-L-R-23	sub-som682_ses-nyuecog01_task-prf_run-01.mat	118	52461
103.3145	0.5000	0.0000	24	PRF-VERTICAL-L-R-22	sub-som682_ses-nyuecog01_task-prf_run-01.mat	119	52897
104.1641	0.5000	0.0000	23	PRF-VERTICAL-L-R-21	sub-som682_ses-nyuecog01_task-prf_run-01.mat	120	53332
105.0137	0.5000	0.0000	22	PRF-VERTICAL-L-R-20	sub-som682_ses-nyuecog01_task-prf_run-01.mat	121	53767
105.8633	0.5000	0.0000	21	PRF-VERTICAL-L-R-19	sub-som682_ses-nyuecog01_task-prf_run-01.mat	122	54202
106.7148	0.5000	0.0000	20	PRF-VERTICAL-L-R-18	sub-som682_ses-nyuecog01_task-prf_run-01.mat	123	54638
107.5645	0.5000	0.0000	19	PRF-VERTICAL-L-R-17	sub-som682_ses-nyuecog01_task-prf_run-01.mat	124	55073
108.4141	0.5000	0.0000	18	PRF-VERTICAL-L-R-16	sub-som682_ses-nyuecog01_task-prf_run-01.mat	125	55508
109.2637	0.5000	0.0000	17	PRF-VERTICAL-L-R-15	sub-som682_ses-nyuecog01_task-prf_run-01.mat	126	55943
110.1152	0.5000	0.0000	16	PRF-VERTICAL-L-R-14	sub-som682_ses-nyuecog01_task-prf_run-01.mat	127	56379
110.9648	0.5000	0.0000	15	PRF-VERTICAL-L-R-13	sub-som682_ses-nyuecog01_task-prf_run-01.mat	128	56814
111.8145	0.5000	0.0000	14	PRF-VERTICAL-L-R-12	sub-som682_ses-nyuecog01_task-prf_run-01.mat	129	57249
112.6641	0.5000	0.0000	13	PRF-VERTICAL-L-R-11	sub-som682_ses-nyuecog01_task-prf_run-01.mat	130	57684
113.5156	0.5000	0.0000	12	PRF-VERTICAL-L-R-10	sub-som682_ses-nyuecog01_task-prf_run-01.mat	131	58120
114.3652	0.5000	0.0000	11	PRF-VERTICAL-L-R-9	sub-som682_ses-nyuecog01_task-prf_run-01.mat	132	58555
115.2148	0.5000	0.0000	10	PRF-VERTICAL-L-R-8	sub-som682_ses-nyuecog01_task-prf_run-01.mat	133	58990
116.0645	0.5000	0.0000	9	PRF-VERTICAL-L-R-7	sub-som682_ses-nyuecog01_task-prf_run-01.mat	134	59425
116.9160	0.5000	0.0000	8	PRF-VERTICAL-L-R-6	sub-som682_ses-nyuecog01_task-prf_run-01.mat	135	59861
117.7656	0.5000	0.0000	7	PRF-VERTICAL-L-R-5	sub-som682_ses-nyuecog01_task-prf_run-01.mat	136	60296
118.6152	0.5000	0.0000	6	PRF-VERTICAL-L-R-4	sub-som682_ses-nyuecog01_task-prf_run-01.mat	137	60731
119.4648	0.5000	0.0000	5	PRF-VERTICAL-L-R-3	sub-som682_ses-nyuecog01_task-prf_run-01.mat	138	61166
120.3164	0.5000	0.0000	4	PRF-VERTICAL-L-R-2	sub-som682_ses-nyuecog01_task-prf_run-01.mat	139	61602
121.1660	0.5000	0.0000	3	PRF-VERTICAL-L-R-1	sub-som682_ses-nyuecog01_task-prf_run-01.mat	140	62037
122.0156	0.5000	0.0000	83	PRF-DIAGONAL-LU-RD-1	sub-som682_ses-nyuecog01_task-prf_run-01.mat	141	62472
122.8652	0.5000	0.0000	84	PRF-DIAGONAL-LU-RD-2	sub-som682_ses-nyuecog01_task-prf_run-01.mat	142	62907
123.7168	0.5000	0.0000	85	PRF-DIAGONAL-LU-RD-3	sub-som682_ses-nyuecog01_task-prf_run-01.mat	143	63343
124.5664	0.5000	0.0000	86	PRF-DIAGONAL-LU-RD-4	sub-som682_ses-nyuecog01_task-prf_run-01.mat	144	63778
125.4160	0.5000	0.0000	87	PRF-DIAGONAL-LU-RD-5	sub-som682_ses-nyuecog01_task-prf_run-01.mat	145	64213
126.2676	0.5000	0.0000	88	PRF-DIAGONAL-LU-RD-6	sub-som682_ses-nyuecog01_task-prf_run-01.mat	146	64649
127.1172	0.5000	0.0000	89	PRF-DIAGONAL-LU-RD-7	sub-som682_ses-nyuecog01_task-prf_run-01.mat	147	65084
127.9668	0.5000	0.0000	90	PRF-DIAGONAL-LU-RD-8	sub-som682_ses-nyuecog01_task-prf_run-01.mat	148	65519
128.8164	0.5000	0.0000	91	PRF-DIAGONAL-LU-RD-9	sub-som682_ses-nyuecog01_task-prf_run-01.mat	149	65954
129.6680	0.5000	0.0000	92	PRF-DIAGONAL-LU-RD-10	sub-som682_ses-nyuecog01_task-prf_run-01.mat	150	66390
130.5176	0.5000	0.0000	93	PRF-DIAGONAL-LU-RD-11	sub-som682_ses-nyuecog01_task-prf_run-01.mat	151	66825
131.3672	0.5000	0.0000	94	PRF-DIAGONAL-LU-RD-12	sub-som682_ses-nyuecog01_task-prf_run-01.mat	152	67260
132.2168	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	153	67695
133.0684	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	154	68131
133.9180	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	155	68566
134.7676	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	156	69001
135.6172	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	157	69436
136.4688	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	158	69872
137.3184	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	159	70307
138.1680	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	160	70742
139.0176	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	161	71177
139.8691	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	162	71613
140.7188	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	163	72048
141.5684	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	164	72483
142.4180	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	165	72918
143.2695	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	166	73354
144.1191	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	167	73789
144.9688	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	168	74224
145.8184	0.5000	0.0000	58	PRF-HORIZONTAL-U-D-28	sub-som682_ses-nyuecog01_task-prf_run-01.mat	169	74659
146.6699	0.5000	0.0000	57	PRF-HORIZONTAL-U-D-27	sub-som682_ses-nyuecog01_task-prf_run-01.mat	170	75095
147.5195	0.5000	0.0000	56	PRF-HORIZONTAL-U-D-26	sub-som682_ses-nyuecog01_task-prf_run-01.mat	171	75530
148.3691	0.5000	0.0000	55	PRF-HORIZONTAL-U-D-25	sub-som682_ses-nyuecog01_task-prf_run-01.mat	172	75965
149.2188	0.5000	0.0000	54	PRF-HORIZONTAL-U-D-24	sub-som682_ses-nyuecog01_task-prf_run-01.mat	173	76400
150.0703	0.5000	0.0000	53	PRF-HORIZONTAL-U-D-23	sub-som682_ses-nyuecog01_task-prf_run-01.mat	174	76836
150.9199	0.5000	0.0000	52	PRF-HORIZONTAL-U-D-22	sub-som682_ses-nyuecog01_task-prf_run-01.mat	175	77271
151.7695	0.5000	0.0000	51	PRF-HORIZONTAL-U-D-21	sub-som682_ses-nyuecog01_task-prf_run-01.mat	176	77706
152.6191	0.5000	0.0000	50	PRF-HORIZONTAL-U-D-20	sub-som682_ses-nyuecog01_task-prf_run-01.mat	177	78141
153.4707	0.5000	0.0000	49	PRF-HORIZONTAL-U-D-19	sub-som682_ses-nyuecog01_task-prf_run-01.mat	178	78577
154.3203	0.5000	0.0000	48	PRF-HORIZONTAL-U-D-18	sub-som682_ses-nyuecog01_task-prf_run-01.mat	179	79012
155.1699	0.5000	0.0000	47	PRF-HORIZONTAL-U-D-17	sub-som682_ses-nyuecog01_task-prf_run-01.mat	180	79447
156.0195	0.5000	0.0000	46	PRF-HORIZONTAL-U-D-16	sub-som682_ses-nyuecog01_task-prf_run-01.mat	181	79882
156.8711	0.5000	0.0000	45	PRF-HORIZONTAL-U-D-15	sub-som682_ses-nyuecog01_task-prf_run-01.mat	182	80318
157.7207	0.5000	0.0000	44	PRF-HORIZONTAL-U-D-14	sub-som682_ses-nyuecog01_task-prf_run-01.mat	183	80753
158.5703	0.5000	0.0000	43	PRF-HORIZONTAL-U-D-13	sub-som682_ses-nyuecog01_task-prf_run-01.mat	184	81188
159.4219	0.5000	0.0000	42	PRF-HORIZONTAL-U-D-12	sub-som682_ses-nyuecog01_task-prf_run-01.mat	185	81624
160.2715	0.5000	0.0000	41	PRF-HORIZONTAL-U-D-11	sub-som682_ses-nyuecog01_task-prf_run-01.mat	186	82059
161.1211	0.5000	0.0000	40	PRF-HORIZONTAL-U-D-10	sub-som682_ses-nyuecog01_task-prf_run-01.mat	187	82494
161.9707	0.5000	0.0000	39	PRF-HORIZONTAL-U-D-9	sub-som682_ses-nyuecog01_task-prf_run-01.mat	188	82929
162.8223	0.5000	0.0000	38	PRF-HORIZONTAL-U-D-8	sub-som682_ses-nyuecog01_task-prf_run-01.mat	189	83365
163.6719	0.5000	0.0000	37	PRF-HORIZONTAL-U-D-7	sub-som682_ses-nyuecog01_task-prf_run-01.mat	190	83800
164.5215	0.5000	0.0000	36	PRF-HORIZONTAL-U-D-6	sub-som682_ses-nyuecog01_task-prf_run-01.mat	191	84235
165.3711	0.5000	0.0000	35	PRF-HORIZONTAL-U-D-5	sub-som682_ses-nyuecog01_task-prf_run-01.mat	192	84670
166.2227	0.5000	0.0000	34	PRF-HORIZONTAL-U-D-4	sub-som682_ses-nyuecog01_task-prf_run-01.mat	193	85106
167.0723	0.5000	0.0000	33	PRF-HORIZONTAL-U-D-3	sub-som682_ses-nyuecog01_task-prf_run-01.mat	194	85541
167.9219	0.5000	0.0000	32	PRF-HORIZONTAL-U-D-2	sub-som682_ses-nyuecog01_task-prf_run-01.mat	195	85976
168.7715	0.5000	0.0000	31	PRF-HORIZONTAL-U-D-1	sub-som682_ses-nyuecog01_task-prf_run-01.mat	196	86411
169.6230	0.5000	0.0000	95	PRF-DIAGONAL-RU-LD-1	sub-som682_ses-nyuecog01_task-prf_run-01.mat	197	86847
170.4727	0.5000	0.0000	96	PRF-DIAGONAL-RU-LD-2	sub-som682_ses-nyuecog01_task-prf_run-01.mat	198	87282
171.3223	0.5000	0.0000	97	PRF-DIAGONAL-RU-LD-3	sub-som682_ses-nyuecog01_task-prf_run-01.mat	199	87717
172.1719	0.5000	0.0000	98	PRF-DIAGONAL-RU-LD-4	sub-som682_ses-nyuecog01_task-prf_run-01.mat	200	88152
173.0234	0.5000	0.0000	99	PRF-DIAGONAL-RU-LD-5	sub-som682_ses-nyuecog01_task-prf_run-01.mat	201	88588
173.8730	0.5000	0.0000	100	PRF-DIAGONAL-RU-LD-6	sub-som682_ses-nyuecog01_task-prf_run-01.mat	202	89023
174.7227	0.5000	0.0000	101	PRF-DIAGONAL-RU-LD-7	sub-som682_ses-nyuecog01_task-prf_run-01.mat	203	89458
175.5723	0.5000	0.0000	102	PRF-DIAGONAL-RU-LD-8	sub-som682_ses-nyuecog01_task-prf_run-01.mat	204	89893
176.4238	0.5000	0.0000	103	PRF-DIAGONAL-RU-LD-9	sub-som682_ses-nyuecog01_task-prf_run-01.mat	205	90329
177.2734	0.5000	0.0000	104	PRF-DIAGONAL-RU-LD-10	sub-som682_ses-nyuecog01_task-prf_run-01.mat	206	90764
178.1230	0.5000	0.0000	105	PRF-DIAGONAL-RU-LD-11	sub-som682_ses-nyuecog01_task-prf_run-01.mat	207	91199
178.9727	0.5000	0.0000	106	PRF-DIAGONAL-RU-LD-12	sub-som682_ses-nyuecog01_task-prf_run-01.mat	208	91634
