onset	duration	trial_type	response_time	sample	value
60.4326171875	0.0000000000	STATUS	n/a	30941	house-inverted-f4
60.4990234375	0.0000000000	STATUS	n/a	30975	house-inverted-f5
60.5664062500	0.0000000000	STATUS	n/a	31010	house-inverted-f6
61.0322265625	0.0000000000	STATUS	n/a	31248	house-upright-f1
61.1152343750	0.0000000000	STATUS	n/a	31291	house-upright-f2
61.1992187500	0.0000000000	STATUS	n/a	31334	house-upright-f3
61.2822265625	0.0000000000	STATUS	n/a	31376	house-upright-f4
61.3652343750	0.0000000000	STATUS	n/a	31419	house-upright-f5
61.4482421875	0.0000000000	STATUS	n/a	31461	house-upright-f6
62.0312500000	0.0000000000	STATUS	n/a	31760	checker-f1
62.0976562500	0.0000000000	STATUS	n/a	31794	checker-f2
62.1640625000	0.0000000000	STATUS	n/a	31828	checker-f3
62.2304687500	0.0000000000	STATUS	n/a	31862	checker-f4
62.2978515625	0.0000000000	STATUS	n/a	31896	checker-f5
