onset	duration	value	HED
35.273438	0	house-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
35.357422	0	house-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
35.939453	0	checker-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image
36.022461	0	checker-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image
36.106445	0	checker-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image
36.189453	0	checker-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image
36.272461	0	checker-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image
36.355469	0	checker-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image
36.938477	0	face-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
37.021484	0	face-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
37.105469	0	face-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
37.188477	0	face-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
37.271484	0	face-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
37.354492	0	face-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
37.9375	0	face-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
38.003906	0	face-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
38.070313	0	face-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
38.137695	0	face-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
38.204102	0	face-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
38.270508	0	face-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
38.736328	0	house-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
38.802734	0	house-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
38.870117	0	house-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
38.936523	0	house-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
39.00293	0	house-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
39.069336	0	house-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
39.569336	0	house-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
39.652344	0	house-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
39.735352	0	house-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
39.818359	0	house-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
39.902344	0	house-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
39.985352	0	house-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
40.568359	0	checker-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image
40.634766	0	checker-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image
40.701172	0	checker-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image
40.767578	0	checker-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image
40.833984	0	checker-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image
40.901367	0	checker-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image
41.367188	0	house-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
41.433594	0	house-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
41.5	0	house-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
41.566406	0	house-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
41.633789	0	house-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
41.700195	0	house-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
42.166016	0	house-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
42.249023	0	house-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
42.333008	0	house-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
42.416016	0	house-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
42.499023	0	house-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
42.582031	0	house-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
43.165039	0	checker-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image
43.231445	0	checker-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image
43.297852	0	checker-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image
43.365234	0	checker-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image
43.431641	0	checker-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image
43.498047	0	checker-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image
43.963867	0	face-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
44.03125	0	face-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
44.097656	0	face-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
44.164063	0	face-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
44.230469	0	face-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
44.296875	0	face-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
44.763672	0	face-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
44.84668	0	face-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
44.929688	0	face-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
45.012695	0	face-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
45.09668	0	face-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
