index	name	network_label	name_7network	index_17network	name_17network	network_label_17network	atlas_name
159	RH_Limbic_OFC_1	Limbic	7Networks_RH_Limbic_OFC_1	157.0	17Networks_RH_LimbicB_OFC_1	LimbicB	Schaefer200
160	RH_Limbic_OFC_2	Limbic	7Networks_RH_Limbic_OFC_2	158.0	17Networks_RH_LimbicB_OFC_2	LimbicB	Schaefer200
161	RH_Limbic_OFC_3	Limbic	7Networks_RH_Limbic_OFC_3	160.0	17Networks_RH_LimbicB_OFC_4	LimbicB	Schaefer200
162	RH_Limbic_TempPole_1	Limbic	7Networks_RH_Limbic_TempPole_1	161.0	17Networks_RH_LimbicA_TempPole_1	LimbicA	Schaefer200
163	RH_Limbic_TempPole_2	Limbic	7Networks_RH_Limbic_TempPole_2	162.0	17Networks_RH_LimbicA_TempPole_2	LimbicA	Schaefer200
164	RH_Limbic_TempPole_3	Limbic	7Networks_RH_Limbic_TempPole_3	163.0	17Networks_RH_LimbicA_TempPole_3	LimbicA	Schaefer200
165	RH_Cont_Par_1	Cont	7Networks_RH_Cont_Par_1	151.0	17Networks_RH_SalVentAttnB_IPL_1	SalVentAttnB	Schaefer200
166	RH_Cont_Par_2	Cont	7Networks_RH_Cont_Par_2	174.0	17Networks_RH_ContB_IPL_2	ContB	Schaefer200
167	RH_Cont_Par_3	Cont	7Networks_RH_Cont_Par_3	165.0	17Networks_RH_ContA_IPS_1	ContA	Schaefer200
168	RH_Cont_Temp_1	Cont	7Networks_RH_Cont_Temp_1	172.0	17Networks_RH_ContB_Temp_2	ContB	Schaefer200
169	RH_Cont_PFCv_1	Cont	7Networks_RH_Cont_PFCv_1	154.0	17Networks_RH_SalVentAttnB_Ins_1	SalVentAttnB	Schaefer200
170	RH_Cont_PFCl_1	Cont	7Networks_RH_Cont_PFCl_1	177.0	17Networks_RH_ContB_PFClv_1	ContB	Schaefer200
171	RH_Cont_PFCl_2	Cont	7Networks_RH_Cont_PFCl_2	178.0	17Networks_RH_ContB_PFClv_2	ContB	Schaefer200
172	RH_Cont_PFCl_3	Cont	7Networks_RH_Cont_PFCl_3	152.0	17Networks_RH_SalVentAttnB_PFClv_1	SalVentAttnB	Schaefer200
173	RH_Cont_PFCl_4	Cont	7Networks_RH_Cont_PFCl_4	169.0	17Networks_RH_ContA_PFCl_2	ContA	Schaefer200
