onset	duration	trial	hand_raised	value	sample	countdown_onset	countdown_offset	response_time	feedback_onset_approx	stim_file	trial_type	stage	bci_prediction	latency	n_repeated
1366.0074	0	16	right	2.0	6830037.0	1362.9740666666667	1365.9740666666667	33.3333333333	1366.0757333333333	left_hand.png	raised-right/match-true	3	right	-25.4	0
1370.64	0	17	left	1.0	6853200.0	1367.5400000000002	1370.5400000000002	100.0	1370.7083333333335	right_hand.png	raised-left/match-true	3	left	-50.0	0
1375.2772	0	18	left	1.0	6876386.0	1372.1772	1375.1772	100.0	1375.3455333333334	right_hand.png	raised-left/match-true	3	left	-53.6	0
1380.1306	0	19	right	2.0	6900653.0	1377.0472666666667	1380.0472666666667	83.3333333333	1380.1989333333333	left_hand.png	raised-right/match-true	3	right	-68.6	0
1384.9054	0	20	left	1.0	6924527.0	1381.8220666666668	1384.8220666666668	83.3333333333	1384.9737333333335	left_hand.png	raised-left/match-false	3	right	-30.6	0
1389.7716	0	21	left	1.0	6948858.0	1386.7049333333334	1389.7049333333334	66.6666666667	1389.8399333333334	right_hand.png	raised-left/match-true	3	left	-32.8	0
1394.425	0	22	right	2.0	6972125.0	1391.325	1394.325	100.0	1394.4933333333333	left_hand.png	raised-right/match-true	3	right	-52.6	0
1399.0456	0	23	left	1.0	6995228.0	1395.9622666666667	1398.9622666666667	83.3333333333	1399.1139333333333	right_hand.png	raised-left/match-true	3	left	-50.8	0
1403.6154	0	24	left	1.0	7018077.0	1400.5820666666666	1403.5820666666666	33.3333333333	1403.6837333333333	right_hand.png	raised-left/match-true	3	left	-27.0	0
1408.2526	0	25	right	2.0	7041263.0	1405.2026	1408.2026	50.0	1408.3209333333334	right_hand.png	raised-right/match-false	3	left	-30.6	0
1412.906	0	26	right	2.0	7064530.0	1409.789333333333	1412.789333333333	116.666666667	1412.9743333333333	left_hand.png	raised-right/match-true	3	right	-24.8	0
1417.4972	0	27	left	1.0	7087486.0	1414.4472	1417.4472	50.0	1417.5655333333334	left_hand.png	raised-left/match-false	3	right	-51.6	0
1422.0962	0	28	left	1.0	7110481.0	1419.0295333333333	1422.0295333333333	66.6666666667	1422.1645333333333	left_hand.png	raised-left/match-false	3	right	-38.4	0
1426.7504	0	29	left	1.0	7133752.0	1423.6337333333329	1426.6337333333329	116.666666667	1426.8187333333333	right_hand.png	raised-left/match-true	3	left	-19.6	0
1431.4412	0	30	right	2.0	7157206.0	1428.2912	1431.2912	150.0	1431.5095333333334	right_hand.png	raised-right/match-false	3	left	-75.2	0
1436.0738	0	31	right	2.0	7180369.0	1433.0071333333333	1436.0071333333333	66.6666666667	1436.1421333333333	right_hand.png	raised-right/match-false	3	left	-50.2	0
1440.6946	0	32	left	1.0	7203473.0	1437.6112666666668	1440.6112666666668	83.3333333333	1440.7629333333334	right_hand.png	raised-left/match-true	3	left	-31.6	0
1449.1174	0	33	left	1.0	7245587.0	1446.0174000000002	1449.0174000000002	100.0	1449.1857333333335	left_hand.png	raised-left/match-false	3	right	-37.8	1
1453.754	0	34	right	2.0	7268770.0	1450.654	1453.654	100.0	1453.8223333333333	left_hand.png	raised-right/match-true	3	right	-40.8	1
1458.391	0	35	right	2.0	7291955.0	1455.2910000000002	1458.2910000000002	100.0	1458.4593333333335	left_hand.png	raised-right/match-true	3	right	-56.0	1
1463.0322	0	36	right	2.0	7315161.0	1459.9322000000002	1462.9322000000002	100.0	1463.1005333333335	left_hand.png	raised-right/match-true	3	right	-51.8	1
1467.6814	0	37	right	2.0	7338407.0	1464.564733333333	1467.564733333333	116.666666667	1467.7497333333333	left_hand.png	raised-right/match-true	3	right	-41.8	1
1472.3688	0	38	right	2.0	7361844.0	1469.2187999999999	1472.2187999999999	150.0	1472.4371333333333	right_hand.png	raised-right/match-false	3	left	-44.4	1
1477.1558	0	39	left	1.0	7385779.0	1474.0558	1477.0558	100.0	1477.2241333333334	right_hand.png	raised-left/match-true	3	left	-44.2	1
1481.8132	0	40	left	1.0	7409066.0	1478.696533333333	1481.696533333333	116.666666667	1481.8815333333334	left_hand.png	raised-left/match-false	3	right	-42.4	1
1486.4458	0	41	right	2.0	7432229.0	1483.3458	1486.3458	100.0	1486.5141333333333	left_hand.png	raised-right/match-true	3	right	-54.4	1
1490.9994	0	42	left	1.0	7454997.0	1487.9827333333333	1490.9827333333333	16.6666666667	1491.0677333333333	right_hand.png	raised-left/match-true	3	left	-75.0	1
1495.5866	0	43	right	2.0	7477933.0	1492.5366000000001	1495.5366000000001	50.0	1495.6549333333335	left_hand.png	raised-right/match-true	3	right	-60.4	1
1502.6962	0	44	right	2.0	7513481.0	1499.6295333333335	1502.6295333333335	66.6666666667	1502.7645333333335	right_hand.png	raised-right/match-false	3	left	-35.8	1
1507.3788	0	45	left	1.0	7536894.0	1504.2954666666667	1507.2954666666667	83.3333333333	1507.4471333333333	left_hand.png	raised-left/match-false	3	right	-33.6	1
1511.9488	0	46	right	2.0	7559744.0	1508.9154666666666	1511.9154666666666	33.3333333333	1512.0171333333333	left_hand.png	raised-right/match-true	3	right	-48.6	1
1516.5362	0	47	left	1.0	7582681.0	1513.4862	1516.4862	50.0	1516.6045333333334	left_hand.png	raised-left/match-false	3	right	-51.8	1
1521.1396	0	48	left	1.0	7605698.0	1518.0729333333334	1521.0729333333334	66.6666666667	1521.2079333333334	left_hand.png	raised-left/match-false	3	right	-55.6	1
1525.7598	0	49	left	1.0	7628799.0	1522.6764666666668	1525.6764666666668	83.3333333333	1525.8281333333334	left_hand.png	raised-left/match-false	3	right	-33.8	1
1530.3966	0	50	left	1.0	7651983.0	1527.2966000000001	1530.2966000000001	100.0	1530.4649333333334	left_hand.png	raised-left/match-false	3	right	-11.4	1
1535.0338	0	51	right	2.0	7675169.0	1531.9338	1534.9338	100.0	1535.1021333333333	left_hand.png	raised-right/match-true	3	right	-66.2	1
1539.6706	0	52	left	1.0	7698353.0	1536.5706	1539.5706	100.0	1539.7389333333333	right_hand.png	raised-left/match-true	3	left	-43.8	1
1544.3406	0	53	left	1.0	7721703.0	1541.207266666667	1544.207266666667	133.33333333299998	1544.4089333333334	left_hand.png	raised-left/match-false	3	right	-54.6	1
1549.0452	0	54	left	1.0	7745226.0	1545.8952	1548.8952	150.0	1549.1135333333334	left_hand.png	raised-left/match-false	3	right	-37.6	1
1553.648	0	55	left	1.0	7768240.0	1550.5813333333333	1553.5813333333333	66.6666666667	1553.7163333333333	right_hand.png	raised-left/match-true	3	left	-29.6	1
1558.2516	0	56	right	2.0	7791258.0	1555.1849333333334	1558.1849333333334	66.6666666667	1558.3199333333334	left_hand.png	raised-right/match-true	3	right	-13.6	1
1562.8886	0	57	left	1.0	7814443.0	1559.7886	1562.7886	100.0	1562.9569333333334	right_hand.png	raised-left/match-true	3	left	-30.6	1
