onset	duration	value
104.426758	0.0	house-upright-f3
104.494141	0.0	house-upright-f4
104.560547	0.0	house-upright-f5
104.626953	0.0	house-upright-f6
105.092773	0.0	house-inverted-f1
105.15918	0.0	house-inverted-f2
105.226563	0.0	house-inverted-f3
105.292969	0.0	house-inverted-f4
105.359375	0.0	house-inverted-f5
105.425781	0.0	house-inverted-f6
105.892578	0.0	checker-f1
105.958984	0.0	checker-f2
106.025391	0.0	checker-f3
106.091797	0.0	checker-f4
106.158203	0.0	checker-f5
106.225586	0.0	checker-f6
106.691406	0.0	face-inverted-f1
106.757813	0.0	face-inverted-f2
106.824219	0.0	face-inverted-f3
106.890625	0.0	face-inverted-f4
106.958008	0.0	face-inverted-f5
107.024414	0.0	face-inverted-f6
107.490234	0.0	face-upright-f1
107.556641	0.0	face-upright-f2
107.624023	0.0	face-upright-f3
107.69043	0.0	face-upright-f4
107.756836	0.0	face-upright-f5
107.823242	0.0	face-upright-f6
108.289063	0.0	house-upright-f1
108.373047	0.0	house-upright-f2
108.456055	0.0	house-upright-f3
108.539063	0.0	house-upright-f4
108.62207	0.0	house-upright-f5
108.706055	0.0	house-upright-f6
109.288086	0.0	house-inverted-f1
109.37207	0.0	house-inverted-f2
109.455078	0.0	house-inverted-f3
109.538086	0.0	house-inverted-f4
109.621094	0.0	house-inverted-f5
109.705078	0.0	house-inverted-f6
110.287109	0.0	house-upright-f1
110.353516	0.0	house-upright-f2
110.420898	0.0	house-upright-f3
110.487305	0.0	house-upright-f4
110.554688	0.0	house-upright-f5
110.620117	0.0	house-upright-f6
111.086914	0.0	face-inverted-f1
111.169922	0.0	face-inverted-f2
111.25293	0.0	face-inverted-f3
111.335938	0.0	face-inverted-f4
111.419922	0.0	face-inverted-f5
111.50293	0.0	face-inverted-f6
112.085938	0.0	house-inverted-f1
112.168945	0.0	house-inverted-f2
112.251953	0.0	house-inverted-f3
112.334961	0.0	house-inverted-f4
112.417969	0.0	house-inverted-f5
112.501953	0.0	house-inverted-f6
113.083984	0.0	face-upright-f1
113.167969	0.0	face-upright-f2
113.250977	0.0	face-upright-f3
113.333984	0.0	face-upright-f4
113.416992	0.0	face-upright-f5
113.500977	0.0	face-upright-f6
114.083008	0.0	checker-f1
114.166016	0.0	checker-f2
114.25	0.0	checker-f3
114.333008	0.0	checker-f4
114.416016	0.0	checker-f5
114.499023	0.0	checker-f6
115.082031	0.0	house-upright-f1
115.165039	0.0	house-upright-f2
115.249023	0.0	house-upright-f3
115.332031	0.0	house-upright-f4
115.415039	0.0	house-upright-f5
115.498047	0.0	house-upright-f6
116.081055	0.0	house-inverted-f1
116.164063	0.0	house-inverted-f2
116.24707	0.0	house-inverted-f3
116.331055	0.0	house-inverted-f4
116.414063	0.0	house-inverted-f5
116.49707	0.0	house-inverted-f6
117.080078	0.0	face-upright-f1
117.146484	0.0	face-upright-f2
117.212891	0.0	face-upright-f3
117.279297	0.0	face-upright-f4
117.34668	0.0	face-upright-f5
117.413086	0.0	face-upright-f6
117.878906	0.0	checker-f1
117.945313	0.0	checker-f2
118.012695	0.0	checker-f3
118.079102	0.0	checker-f4
118.145508	0.0	checker-f5
118.211914	0.0	checker-f6
118.677734	0.0	face-inverted-f1
118.745117	0.0	face-inverted-f2
118.811523	0.0	face-inverted-f3
118.87793	0.0	face-inverted-f4
118.944336	0.0	face-inverted-f5
119.010742	0.0	face-inverted-f6
119.477539	0.0	face-upright-f1
119.560547	0.0	face-upright-f2
119.643555	0.0	face-upright-f3
119.727539	0.0	face-upright-f4
119.810547	0.0	face-upright-f5
119.893555	0.0	face-upright-f6
120.476563	0.0	face-inverted-f1
120.542969	0.0	face-inverted-f2
120.609375	0.0	face-inverted-f3
120.675781	0.0	face-inverted-f4
120.742188	0.0	face-inverted-f5
120.80957	0.0	face-inverted-f6
121.275391	0.0	house-inverted-f1
121.358398	0.0	house-inverted-f2
121.441406	0.0	house-inverted-f3
121.525391	0.0	house-inverted-f4
121.608398	0.0	house-inverted-f5
121.691406	0.0	house-inverted-f6
122.274414	0.0	house-upright-f1
122.357422	0.0	house-upright-f2
122.44043	0.0	house-upright-f3
122.524414	0.0	house-upright-f4
122.607422	0.0	house-upright-f5
122.69043	0.0	house-upright-f6
123.273438	0.0	checker-f1
123.323242	0.0	checker-f2
123.373047	0.0	checker-f3
123.422852	0.0	checker-f4
123.472656	0.0	checker-f5
123.522461	0.0	checker-f6
123.889648	0.0	house-upright-f1
123.956055	0.0	house-upright-f2
