name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
MRP56-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP57-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT11-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT12-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT13-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT14-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT15-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT16-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT21-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT22-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT23-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT24-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT25-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT26-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT27-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT31-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT32-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT33-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT34-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT35-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT36-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT37-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT41-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT42-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT43-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT44-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT45-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT46-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT47-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT51-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT52-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT53-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT54-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT55-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT56-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRT57-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZC01-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZC02-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZC03-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZC04-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZF01-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZF02-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZF03-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZO01-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZO02-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZO03-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MZP01-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
UPPT001	MISC	V	0.0	600.0	Miscellaneous	1200.0	good
trigger	MISC	V	0.0	600.0	Miscellaneous	1200.0	good
